run,time
258,4733258
259,4733787
260,4677893
261,4769606
262,4721663
263,4712446
264,4537205
265,5559174
266,7761665
267,7741021
268,8122162
269,7537193
270,5200074
271,5221415
272,5605940
273,4781561
274,4692356
275,4994649
276,6259665
277,5108852
278,5325551
279,5279231
280,4941070
281,4933608
282,4766320
283,5104441
284,4724624
285,4699219
286,4742352
287,4763838
288,4950923
289,4745580
290,4857639
291,4850995
292,4612055
293,4678500
294,4721144
295,4751694
296,4755123
297,4638156
298,4635490
299,4645253
300,4902841
301,4827098
302,4957475
303,5038025
304,5011412
305,5328828
306,5136296
307,5090363
308,5145678
309,4914857
310,5347453
311,5113060
312,5092633
313,5481900
314,5094320
315,5103787
316,5057711
317,5001693
318,4887816
319,5078107
320,5188364
321,5051807
322,4763080
323,4902834
324,4726354
325,4797801
326,6320417
327,4786910
328,4732890
329,6165617
330,4640301
331,4672975
332,4693080
333,4728281
334,4418225
335,4614573
336,4663012
337,4679955
338,4891905
339,4896397
340,4851591
341,4747716
342,4978943
343,5001141
344,4894820
345,6406394
346,4978553
347,5062119
348,4959663
349,4826668
350,5070355
351,4994320
352,5114120
353,5052653
354,4981593
355,5151375
356,5264432
357,5016401
358,4928372
359,4932458
360,5151413
361,7744944
362,5027928
363,5062179
364,4954122
365,4955083
366,4758603
367,4966667
368,4654566
369,4590343
370,4642156
371,4396692
372,4510269
373,4429952
374,4405558
375,4754285
376,4730580
377,10513076
378,5040736
379,5770805
380,5559013
381,6038150
382,5016226
383,6141939
384,5556877
385,4969597
386,4806390
387,4990379
388,4975242
389,5155903
390,5014761
391,5083927
392,4956916
393,8682551
394,6811023
395,5086964
396,4914068
397,4920132
398,5020791
399,4901195
400,4750107
401,4696970
402,4751379
403,4736048
404,4744489
405,4786608
406,4690261
407,4586158
408,4731302
409,4826215
410,4614874
411,4637475
412,4649748
413,4875224
414,4931577
415,4791449
416,4859808
417,4895319
418,4866017
419,5008352
420,4849773
421,5042530
422,5086146
423,5073005
424,5213866
425,5185744
426,5086344
427,5111569
428,5144498
429,4916174
430,5120620
431,5097217
432,4918557
433,5291650
434,4856984
435,5244678
436,4863700
437,4789105
438,4735339
439,4759861
440,4786194
441,4614102
442,4455308
443,4392316
444,4540464
445,4404447
446,4311896
447,4355232
448,4613230
449,4619061
450,4724802
451,4809843
452,4733513
453,4786087
454,6093954
455,4986120
456,4783186
457,5146583
458,5139047
459,5189752
460,4957676
461,5117351
462,5026707
463,5120603
464,5209777
465,5726941
466,4900738
467,5050595
468,4972359
469,5133127
470,4906529
471,4768293
472,4872885
473,5188862
474,4754333
475,4702754
476,4799914
477,4671162
478,4684246
479,4643720
480,4459760
481,4380783
482,4419225
483,4414992
484,4463776
485,4452111
486,4394268
487,4776335
488,4946405
489,6180191
490,4854488
491,5604348
492,4989900
493,4919576
494,4970585
495,5149806
496,5200503
497,5013517
498,4975403
499,4836353
500,4926908
501,5085659
502,4937366
503,5715861
504,5259816
505,6505335
506,4991432
507,4890385
508,4836383
509,5049865
510,5040265
511,5157286
512,6942786
513,5245789
514,4935356
515,4673926
516,4795948
517,4810495
518,4755769
519,4598445
520,4792959
521,7626665
522,4705400
523,4614111
524,4604610
525,4549783
526,4701695
527,4748893
528,5001551
529,4853182
530,4858522
531,5014132
532,5057173
533,5115428
534,4937842
535,5056572
536,4907065
537,7186675
538,5051282
539,4877840
540,5016970
541,5080533
542,4968069
543,5142407
544,4932323
545,6247016
546,5225376
547,4962143
548,4745156
549,4668111
550,4688879
551,4770109
552,4631719
553,4787050
554,4627369
555,4449266
556,4380820
557,4374587
558,4435469
559,4415390
560,4385061
561,4263716
562,4450644
563,4762629
564,4764974
565,4903753
566,4730583
567,4703311
568,4642722
569,4993372
570,5005989
571,5129765
572,5156734
573,5027607
574,5067599
575,5082555
576,5088455
577,5110460
578,5163250
579,4949119
580,5160517
581,5112892
582,5071705
583,5293409
584,5324067
585,6526329
586,4700840
587,4838640
588,4788902
589,4750971
590,4637293
591,4472121
592,4519435
593,4415251
594,4418400
595,4407783
596,4474183
597,4407740
598,4444171
599,4522786
600,5468030
601,10614856
602,6272636
603,4761789
604,4904147
605,6029377
606,6409691
607,4957367
608,5007710
609,5106719
610,5034156
611,5083523
612,5763165
613,5451736
614,5044007
615,5283392
616,5093763
617,6100639
618,5383185
619,5242033
620,4918038
621,4736646
622,4959454
623,4727645
624,4772164
